"BaseThick","FinThick","FinHeight","BaseMaterial","FinMaterial","FanType","MeanTemp"
2.6,4.2,20,"Silver","Steel","Exhaust",111.933
2.2,3.2,28,"Silver","Steel","Exhaust",88.2621
2.4,4,18,"Silver","Steel","Exhaust",118.605
3,3.8,30,"Silver","Steel","Exhaust",83.8821
2.2,4.8,26,"Silver","Steel","Exhaust",93.3593
2.8,4,22,"Silver","Steel","Exhaust",111.595
2.6,3.4,22,"Silver","Steel","Exhaust",98.91
2.8,4.8,24,"Silver","Steel","Exhaust",103.307
2.6,4.4,28,"Silver","Steel","Exhaust",91.4452
2.4,4.4,20,"Silver","Steel","Exhaust",111.041
2.2,5,34,"Silver","Steel","Exhaust",80.1113
2.8,3.4,32,"Silver","Steel","Exhaust",81.4521
3,4.4,34,"Silver","Steel","Exhaust",85.192
2.8,3.4,16,"Silver","Steel","Exhaust",118.721
3,4.6,18,"Silver","Steel","Exhaust",124.233
2.2,3.6,30,"Silver","Steel","Exhaust",82.2954
2.6,4.2,20,"Silver","Steel","Intake",110.323
2.2,3.2,28,"Silver","Steel","Intake",87.2143
2.4,4,18,"Silver","Steel","Intake",117.375
3,3.8,30,"Silver","Steel","Intake",82.6656
2.2,4.8,26,"Silver","Steel","Intake",91.7589
2.8,4,22,"Silver","Steel","Intake",111.892
2.6,3.4,22,"Silver","Steel","Intake",97.1453
2.8,4.8,24,"Silver","Steel","Intake",101.711
2.6,4.4,28,"Silver","Steel","Intake",90.2243
2.4,4.4,20,"Silver","Steel","Intake",109.23
2.2,5,34,"Silver","Steel","Intake",79.0896
2.8,3.4,32,"Silver","Steel","Intake",80.1432
3,4.4,34,"Silver","Steel","Intake",85.275
2.8,3.4,16,"Silver","Steel","Intake",116.329
3,4.6,18,"Silver","Steel","Intake",123.389
2.2,3.6,30,"Silver","Steel","Intake",81.039
2.6,4.2,20,"Brass","Silver","Exhaust",106.838
2.2,3.2,28,"Brass","Silver","Exhaust",79.4696
2.4,4,18,"Brass","Silver","Exhaust",113.897
3,3.8,30,"Brass","Silver","Exhaust",75.4722
2.2,4.8,26,"Brass","Silver","Exhaust",87.3438
2.8,4,22,"Brass","Silver","Exhaust",105.877
2.6,3.4,22,"Brass","Silver","Exhaust",92.1566
2.8,4.8,24,"Brass","Silver","Exhaust",97.7467
2.6,4.4,28,"Brass","Silver","Exhaust",84.5382
2.4,4.4,20,"Brass","Silver","Exhaust",106.106
2.2,5,34,"Brass","Silver","Exhaust",72.5626
2.8,3.4,32,"Brass","Silver","Exhaust",71.7993
3,4.4,34,"Brass","Silver","Exhaust",76.9944
2.8,3.4,16,"Brass","Silver","Exhaust",113.81
3,4.6,18,"Brass","Silver","Exhaust",119.956
2.2,3.6,30,"Brass","Silver","Exhaust",73.4979
2.6,4.2,20,"Brass","Silver","Intake",104.853
2.2,3.2,28,"Brass","Silver","Intake",78.2917
2.4,4,18,"Brass","Silver","Intake",112.244
3,3.8,30,"Brass","Silver","Intake",74.1532
2.2,4.8,26,"Brass","Silver","Intake",85.3856
2.8,4,22,"Brass","Silver","Intake",105.72
2.6,3.4,22,"Brass","Silver","Intake",90.3217
2.8,4.8,24,"Brass","Silver","Intake",95.8257
2.6,4.4,28,"Brass","Silver","Intake",82.9663
2.4,4.4,20,"Brass","Silver","Intake",103.92
2.2,5,34,"Brass","Silver","Intake",71.2306
2.8,3.4,32,"Brass","Silver","Intake",70.4789
3,4.4,34,"Brass","Silver","Intake",76.7723
2.8,3.4,16,"Brass","Silver","Intake",111.364
3,4.6,18,"Brass","Silver","Intake",118.762
2.2,3.6,30,"Brass","Silver","Intake",72.1718
2.6,4.2,20,"Brass","Brass","Exhaust",106.879
2.2,3.2,28,"Brass","Brass","Exhaust",79.543
2.4,4,18,"Brass","Brass","Exhaust",113.935
3,3.8,30,"Brass","Brass","Exhaust",75.5423
2.2,4.8,26,"Brass","Brass","Exhaust",87.3929
2.8,4,22,"Brass","Brass","Exhaust",105.924
2.6,3.4,22,"Brass","Brass","Exhaust",92.2122
2.8,4.8,24,"Brass","Brass","Exhaust",97.7916
2.6,4.4,28,"Brass","Brass","Exhaust",84.5947
2.4,4.4,20,"Brass","Brass","Exhaust",106.146
2.2,5,34,"Brass","Brass","Exhaust",72.625
2.8,3.4,32,"Brass","Brass","Exhaust",71.8806
3,4.4,34,"Brass","Brass","Exhaust",77.0619
2.8,3.4,16,"Brass","Brass","Exhaust",113.85
3,4.6,18,"Brass","Brass","Exhaust",119.99
2.2,3.6,30,"Brass","Brass","Exhaust",73.5717
2.6,4.2,20,"Brass","Brass","Intake",104.897
2.2,3.2,28,"Brass","Brass","Intake",78.3657
2.4,4,18,"Brass","Brass","Intake",112.285
3,3.8,30,"Brass","Brass","Intake",74.2238
2.2,4.8,26,"Brass","Brass","Intake",85.4375
2.8,4,22,"Brass","Brass","Intake",105.77
2.6,3.4,22,"Brass","Brass","Intake",90.3776
2.8,4.8,24,"Brass","Brass","Intake",95.8731
2.6,4.4,28,"Brass","Brass","Intake",83.0258
2.4,4.4,20,"Brass","Brass","Intake",103.963
2.2,5,34,"Brass","Brass","Intake",71.2957
2.8,3.4,32,"Brass","Brass","Intake",70.5601
3,4.4,34,"Brass","Brass","Intake",76.8424
2.8,3.4,16,"Brass","Brass","Intake",111.404
3,4.6,18,"Brass","Brass","Intake",118.799
2.2,3.6,30,"Brass","Brass","Intake",72.2458
2.6,4.2,20,"Brass","Aluminum","Exhaust",107.748
2.2,3.2,28,"Brass","Aluminum","Exhaust",81.079
2.4,4,18,"Brass","Aluminum","Exhaust",114.737
3,3.8,30,"Brass","Aluminum","Exhaust",77.0091
2.2,4.8,26,"Brass","Aluminum","Exhaust",88.4234
2.8,4,22,"Brass","Aluminum","Exhaust",106.896
2.6,3.4,22,"Brass","Aluminum","Exhaust",93.3786
2.8,4.8,24,"Brass","Aluminum","Exhaust",98.7364
2.6,4.4,28,"Brass","Aluminum","Exhaust",85.7829
2.4,4.4,20,"Brass","Aluminum","Exhaust",106.987
2.2,5,34,"Brass","Aluminum","Exhaust",73.9329
2.8,3.4,32,"Brass","Aluminum","Exhaust",73.5784
3,4.4,34,"Brass","Aluminum","Exhaust",78.4795
2.8,3.4,16,"Brass","Aluminum","Exhaust",114.693
3,4.6,18,"Brass","Aluminum","Exhaust",120.714
2.2,3.6,30,"Brass","Aluminum","Exhaust",75.1131
2.6,4.2,20,"Brass","Aluminum","Intake",105.828
2.2,3.2,28,"Brass","Aluminum","Intake",79.9214
2.4,4,18,"Brass","Aluminum","Intake",113.157
3,3.8,30,"Brass","Aluminum","Intake",75.7031
2.2,4.8,26,"Brass","Aluminum","Intake",86.5286
2.8,4,22,"Brass","Aluminum","Intake",106.821
2.6,3.4,22,"Brass","Aluminum","Intake",91.5519
2.8,4.8,24,"Brass","Aluminum","Intake",96.8732
2.6,4.4,28,"Brass","Aluminum","Intake",84.2739
2.4,4.4,20,"Brass","Aluminum","Intake",104.866
2.2,5,34,"Brass","Aluminum","Intake",72.6561
2.8,3.4,32,"Brass","Aluminum","Intake",72.2575
3,4.4,34,"Brass","Aluminum","Intake",78.3131
2.8,3.4,16,"Brass","Aluminum","Intake",112.251
3,4.6,18,"Brass","Aluminum","Intake",119.581
2.2,3.6,30,"Brass","Aluminum","Intake",73.7945
2.6,4.2,20,"Brass","Steel","Exhaust",111.95
2.2,3.2,28,"Brass","Steel","Exhaust",88.2993
2.4,4,18,"Brass","Steel","Exhaust",118.623
3,3.8,30,"Brass","Steel","Exhaust",83.9004
2.2,4.8,26,"Brass","Steel","Exhaust",93.3754
2.8,4,22,"Brass","Steel","Exhaust",111.604
2.6,3.4,22,"Brass","Steel","Exhaust",98.9467
2.8,4.8,24,"Brass","Steel","Exhaust",103.314
2.6,4.4,28,"Brass","Steel","Exhaust",91.4625
2.4,4.4,20,"Brass","Steel","Exhaust",111.058
2.2,5,34,"Brass","Steel","Exhaust",80.1296
2.8,3.4,32,"Brass","Steel","Exhaust",81.4869
3,4.4,34,"Brass","Steel","Exhaust",85.2021
2.8,3.4,16,"Brass","Steel","Exhaust",118.757
3,4.6,18,"Brass","Steel","Exhaust",124.243
2.2,3.6,30,"Brass","Steel","Exhaust",82.3335
2.6,4.2,20,"Brass","Steel","Intake",110.337
2.2,3.2,28,"Brass","Steel","Intake",87.2448
2.4,4,18,"Brass","Steel","Intake",117.388
3,3.8,30,"Brass","Steel","Intake",82.681
2.2,4.8,26,"Brass","Steel","Intake",91.7721
2.8,4,22,"Brass","Steel","Intake",111.9
2.6,3.4,22,"Brass","Steel","Intake",97.1748
2.8,4.8,24,"Brass","Steel","Intake",101.717
2.6,4.4,28,"Brass","Steel","Intake",90.2387
2.4,4.4,20,"Brass","Steel","Intake",109.243
2.2,5,34,"Brass","Steel","Intake",79.1051
2.8,3.4,32,"Brass","Steel","Intake",80.1726
3,4.4,34,"Brass","Steel","Intake",85.284
2.8,3.4,16,"Brass","Steel","Intake",116.357
3,4.6,18,"Brass","Steel","Intake",123.397
2.2,3.6,30,"Brass","Steel","Intake",81.0704
2.6,4.2,20,"Aluminum","Silver","Exhaust",107.194
2.2,3.2,28,"Aluminum","Silver","Exhaust",80.2447
2.4,4,18,"Aluminum","Silver","Exhaust",114.257
3,3.8,30,"Aluminum","Silver","Exhaust",75.8727
2.2,4.8,26,"Aluminum","Silver","Exhaust",87.6689
2.8,4,22,"Aluminum","Silver","Exhaust",106.084
2.6,3.4,22,"Aluminum","Silver","Exhaust",92.9264
2.8,4.8,24,"Aluminum","Silver","Exhaust",97.895
2.6,4.4,28,"Aluminum","Silver","Exhaust",84.8951
2.4,4.4,20,"Aluminum","Silver","Exhaust",106.449
2.2,5,34,"Aluminum","Silver","Exhaust",72.9272
2.8,3.4,32,"Aluminum","Silver","Exhaust",72.5361
3,4.4,34,"Aluminum","Silver","Exhaust",77.2161
2.8,3.4,16,"Aluminum","Silver","Exhaust",114.558
3,4.6,18,"Aluminum","Silver","Exhaust",120.159
2.2,3.6,30,"Aluminum","Silver","Exhaust",74.2996
2.6,4.2,20,"Aluminum","Silver","Intake",105.14
2.2,3.2,28,"Aluminum","Silver","Intake",78.9332
2.4,4,18,"Aluminum","Silver","Intake",112.522
3,3.8,30,"Aluminum","Silver","Intake",74.4944
2.2,4.8,26,"Aluminum","Silver","Intake",85.6652
2.8,4,22,"Aluminum","Silver","Intake",105.907
2.6,3.4,22,"Aluminum","Silver","Intake",90.9517
2.8,4.8,24,"Aluminum","Silver","Intake",95.9677
2.6,4.4,28,"Aluminum","Silver","Intake",83.2714
2.4,4.4,20,"Aluminum","Silver","Intake",104.196
2.2,5,34,"Aluminum","Silver","Intake",71.5472
2.8,3.4,32,"Aluminum","Silver","Intake",71.107
3,4.4,34,"Aluminum","Silver","Intake",76.9778
2.8,3.4,16,"Aluminum","Silver","Intake",111.958
3,4.6,18,"Aluminum","Silver","Intake",118.946
2.2,3.6,30,"Aluminum","Silver","Intake",72.8381
2.6,4.2,20,"Aluminum","Brass","Exhaust",107.236
2.2,3.2,28,"Aluminum","Brass","Exhaust",80.3181
2.4,4,18,"Aluminum","Brass","Exhaust",114.295
3,3.8,30,"Aluminum","Brass","Exhaust",75.9427
2.2,4.8,26,"Aluminum","Brass","Exhaust",87.7182
2.8,4,22,"Aluminum","Brass","Exhaust",106.13
2.6,3.4,22,"Aluminum","Brass","Exhaust",92.982
2.8,4.8,24,"Aluminum","Brass","Exhaust",97.94
2.6,4.4,28,"Aluminum","Brass","Exhaust",84.9518
2.4,4.4,20,"Aluminum","Brass","Exhaust",106.489
2.2,5,34,"Aluminum","Brass","Exhaust",72.9899
2.8,3.4,32,"Aluminum","Brass","Exhaust",72.6173
3,4.4,34,"Aluminum","Brass","Exhaust",77.2835
2.8,3.4,16,"Aluminum","Brass","Exhaust",114.598
3,4.6,18,"Aluminum","Brass","Exhaust",120.193
2.2,3.6,30,"Aluminum","Brass","Exhaust",74.3733
2.6,4.2,20,"Aluminum","Brass","Intake",105.184
2.2,3.2,28,"Aluminum","Brass","Intake",79.0074
2.4,4,18,"Aluminum","Brass","Intake",112.564
3,3.8,30,"Aluminum","Brass","Intake",74.5649
2.2,4.8,26,"Aluminum","Brass","Intake",85.7172
2.8,4,22,"Aluminum","Brass","Intake",105.957
2.6,3.4,22,"Aluminum","Brass","Intake",91.0075
2.8,4.8,24,"Aluminum","Brass","Intake",96.015
2.6,4.4,28,"Aluminum","Brass","Intake",83.3308
2.4,4.4,20,"Aluminum","Brass","Intake",104.238
2.2,5,34,"Aluminum","Brass","Intake",71.6123
2.8,3.4,32,"Aluminum","Brass","Intake",71.1881
3,4.4,34,"Aluminum","Brass","Intake",77.0477
2.8,3.4,16,"Aluminum","Brass","Intake",111.998
3,4.6,18,"Aluminum","Brass","Intake",118.983
2.2,3.6,30,"Aluminum","Brass","Intake",72.9121
2.6,4.2,20,"Aluminum","Aluminum","Exhaust",108.107
2.2,3.2,28,"Aluminum","Aluminum","Exhaust",81.8547
2.4,4,18,"Aluminum","Aluminum","Exhaust",115.099
3,3.8,30,"Aluminum","Aluminum","Exhaust",77.4073
2.2,4.8,26,"Aluminum","Aluminum","Exhaust",88.7532
2.8,4,22,"Aluminum","Aluminum","Exhaust",107.101
2.6,3.4,22,"Aluminum","Aluminum","Exhaust",94.1486
2.8,4.8,24,"Aluminum","Aluminum","Exhaust",98.8825
2.6,4.4,28,"Aluminum","Aluminum","Exhaust",86.1421
2.4,4.4,20,"Aluminum","Aluminum","Exhaust",107.333
2.2,5,34,"Aluminum","Aluminum","Exhaust",74.3021
2.8,3.4,32,"Aluminum","Aluminum","Exhaust",74.3133
3,4.4,34,"Aluminum","Aluminum","Exhaust",78.6989
2.8,3.4,16,"Aluminum","Aluminum","Exhaust",115.443
3,4.6,18,"Aluminum","Aluminum","Exhaust",120.916
2.2,3.6,30,"Aluminum","Aluminum","Exhaust",75.9142
2.6,4.2,20,"Aluminum","Aluminum","Intake",106.115
2.2,3.2,28,"Aluminum","Aluminum","Intake",80.5624
2.4,4,18,"Aluminum","Aluminum","Intake",113.435
3,3.8,30,"Aluminum","Aluminum","Intake",76.0416
2.2,4.8,26,"Aluminum","Aluminum","Intake",86.8079
2.8,4,22,"Aluminum","Aluminum","Intake",107.005
2.6,3.4,22,"Aluminum","Aluminum","Intake",92.1797
2.8,4.8,24,"Aluminum","Aluminum","Intake",97.0117
2.6,4.4,28,"Aluminum","Aluminum","Intake",84.5787
2.4,4.4,20,"Aluminum","Aluminum","Intake",105.141
2.2,5,34,"Aluminum","Aluminum","Intake",72.9755
2.8,3.4,32,"Aluminum","Aluminum","Intake",72.8834
3,4.4,34,"Aluminum","Aluminum","Intake",78.5152
2.8,3.4,16,"Aluminum","Aluminum","Intake",112.844
3,4.6,18,"Aluminum","Aluminum","Intake",119.763
2.2,3.6,30,"Aluminum","Aluminum","Intake",74.459
2.6,4.2,20,"Aluminum","Steel","Exhaust",112.313
2.2,3.2,28,"Aluminum","Steel","Exhaust",89.0697
2.4,4,18,"Aluminum","Steel","Exhaust",118.989
3,3.8,30,"Aluminum","Steel","Exhaust",84.2836
2.2,4.8,26,"Aluminum","Steel","Exhaust",93.7118
2.8,4,22,"Aluminum","Steel","Exhaust",111.803
2.6,3.4,22,"Aluminum","Steel","Exhaust",99.7092
2.8,4.8,24,"Aluminum","Steel","Exhaust",103.453
2.6,4.4,28,"Aluminum","Steel","Exhaust",91.8254
2.4,4.4,20,"Aluminum","Steel","Exhaust",111.41
2.2,5,34,"Aluminum","Steel","Exhaust",80.5083
2.8,3.4,32,"Aluminum","Steel","Exhaust",82.2093
3,4.4,34,"Aluminum","Steel","Exhaust",85.4154
2.8,3.4,16,"Aluminum","Steel","Exhaust",119.506
3,4.6,18,"Aluminum","Steel","Exhaust",124.442
2.2,3.6,30,"Aluminum","Steel","Exhaust",83.1212
2.6,4.2,20,"Aluminum","Steel","Intake",110.621
2.2,3.2,28,"Aluminum","Steel","Intake",87.8786
2.4,4,18,"Aluminum","Steel","Intake",117.662
3,3.8,30,"Aluminum","Steel","Intake",83.0061
2.2,4.8,26,"Aluminum","Steel","Intake",92.0506
2.8,4,22,"Aluminum","Steel","Intake",112.076
2.6,3.4,22,"Aluminum","Steel","Intake",97.7921
2.8,4.8,24,"Aluminum","Steel","Intake",101.846
2.6,4.4,28,"Aluminum","Steel","Intake",90.5423
2.4,4.4,20,"Aluminum","Steel","Intake",109.516
2.2,5,34,"Aluminum","Steel","Intake",79.4294
2.8,3.4,32,"Aluminum","Steel","Intake",80.7875
3,4.4,34,"Aluminum","Steel","Intake",85.4772
2.8,3.4,16,"Aluminum","Steel","Intake",116.943
3,4.6,18,"Aluminum","Steel","Intake",123.573
2.2,3.6,30,"Aluminum","Steel","Intake",81.7222
2.6,4.2,20,"Steel","Silver","Exhaust",108.907
2.2,3.2,28,"Steel","Silver","Exhaust",83.7113
2.4,4,18,"Steel","Silver","Exhaust",115.98
3,3.8,30,"Steel","Silver","Exhaust",77.7925
2.2,4.8,26,"Steel","Silver","Exhaust",89.2226
