"BaseThick","FinThick","FinHeight","BaseMaterial","FinMaterial","FanType","MeanTemp"
2.6,4.2,20,"Steel","Steel","Exhaust",114.042
2.2,3.2,28,"Steel","Steel","Exhaust",92.5208
2.4,4,18,"Steel","Steel","Exhaust",120.729
3,3.8,30,"Steel","Steel","Exhaust",86.1185
2.2,4.8,26,"Steel","Steel","Exhaust",95.2926
2.8,4,22,"Steel","Steel","Exhaust",112.812
2.6,3.4,22,"Steel","Steel","Exhaust",103.195
2.8,4.8,24,"Steel","Steel","Exhaust",104.187
2.6,4.4,28,"Steel","Steel","Exhaust",93.5458
2.4,4.4,20,"Steel","Steel","Exhaust",113.075
2.2,5,34,"Steel","Steel","Exhaust",82.2429
2.8,3.4,32,"Steel","Steel","Exhaust",85.5009
3,4.4,34,"Steel","Steel","Exhaust",86.4954
2.8,3.4,16,"Steel","Steel","Exhaust",122.98
3,4.6,18,"Steel","Steel","Exhaust",125.441
2.2,3.6,30,"Steel","Steel","Exhaust",86.6023
2.6,4.2,20,"Steel","Steel","Intake",112.023
2.2,3.2,28,"Steel","Steel","Intake",90.7849
2.4,4,18,"Steel","Steel","Intake",119.02
3,3.8,30,"Steel","Steel","Intake",84.6088
2.2,4.8,26,"Steel","Steel","Intake",93.4033
2.8,4,22,"Steel","Steel","Intake",112.984
2.6,3.4,22,"Steel","Steel","Intake",100.674
2.8,4.8,24,"Steel","Steel","Intake",102.54
2.6,4.4,28,"Steel","Steel","Intake",92.0246
2.4,4.4,20,"Steel","Steel","Intake",110.863
2.2,5,34,"Steel","Steel","Intake",80.9567
2.8,3.4,32,"Steel","Steel","Intake",83.639
3,4.4,34,"Steel","Steel","Intake",86.4761
2.8,3.4,16,"Steel","Steel","Intake",119.719
3,4.6,18,"Steel","Steel","Intake",124.477
2.2,3.6,30,"Steel","Steel","Intake",84.6709
